Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,23-01-2024 15:34:21,23-01-2024 15:35:02,41.405s,PASSED
,,,,,,,
Test Cases/CURA Health/Login,Chrome 120.0.0.0,,,23-01-2024 15:34:21,23-01-2024 15:35:02,41.231s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,23-01-2024 15:34:21,23-01-2024 15:34:23,1.688s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,23-01-2024 15:34:23,23-01-2024 15:34:59,35.681s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,23-01-2024 15:34:59,23-01-2024 15:34:59,0.823s,PASSED
"setText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,23-01-2024 15:34:59,23-01-2024 15:35:00,0.818s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,23-01-2024 15:35:00,23-01-2024 15:35:01,0.464s,PASSED
"takeScreenshotAsCheckpoint(""cek"")",Chrome 120.0.0.0,,,23-01-2024 15:35:01,23-01-2024 15:35:01,0.647s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,23-01-2024 15:35:01,23-01-2024 15:35:02,0.864s,PASSED
