Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bookappointment,Chrome 120.0.0.0,,,24-01-2024 09:31:36,24-01-2024 09:31:51,15.087s,PASSED
,,,,,,,
Test Cases/CURA Health/Bookapointment,Chrome 120.0.0.0,,,24-01-2024 09:31:36,24-01-2024 09:31:51,14.849s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 09:31:37,24-01-2024 09:31:39,2.221s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,24-01-2024 09:31:39,24-01-2024 09:31:46,6.975s,PASSED
"click(findTestObject(""Test Object/Page_CURA Healthcare Service/btnMakeAppointment""))",Chrome 120.0.0.0,,,24-01-2024 09:31:46,24-01-2024 09:31:47,1.701s,PASSED
"setText(findTestObject(""Test Object/Page_CURA Healthcare Service/txtUsername""), ""John Doe"")",Chrome 120.0.0.0,,,24-01-2024 09:31:47,24-01-2024 09:31:48,0.785s,PASSED
"setEncryptedText(findTestObject(""Test Object/Page_CURA Healthcare Service/txtPassword""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,24-01-2024 09:31:48,24-01-2024 09:31:49,0.533s,PASSED
"click(findTestObject(""Test Object/Page_CURA Healthcare Service/btnLogin""))",Chrome 120.0.0.0,,,24-01-2024 09:31:49,24-01-2024 09:31:50,1.258s,PASSED
"takeScreenshotAsCheckpoint(""cek"")",Chrome 120.0.0.0,,,24-01-2024 09:31:50,24-01-2024 09:31:51,0.806s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,24-01-2024 09:31:51,24-01-2024 09:31:51,0.198s,PASSED
