Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Book Appointment,Chrome 120.0.0.0,,,24-01-2024 09:42:45,24-01-2024 09:43:02,16.938s,PASSED
,,,,,,,
Test Cases/CURA Health/Create Book Appointment,Chrome 120.0.0.0,,,24-01-2024 09:42:45,24-01-2024 09:43:02,16.696s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 09:42:46,24-01-2024 09:42:48,2.432s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,24-01-2024 09:42:48,24-01-2024 09:42:53,4.545s,PASSED
"click(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,24-01-2024 09:42:53,24-01-2024 09:42:54,1.058s,PASSED
"setText(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,24-01-2024 09:42:54,24-01-2024 09:42:54,0.807s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,24-01-2024 09:42:54,24-01-2024 09:42:55,0.520s,PASSED
"click(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,24-01-2024 09:42:55,24-01-2024 09:42:56,1.217s,PASSED
"click(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,24-01-2024 09:42:56,24-01-2024 09:42:57,0.523s,PASSED
"click(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 120.0.0.0,,,24-01-2024 09:42:57,24-01-2024 09:42:57,0.419s,PASSED
"click(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/input_visit_date""))",Chrome 120.0.0.0,,,24-01-2024 09:42:57,24-01-2024 09:42:58,0.432s,PASSED
"click(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/td_31""))",Chrome 120.0.0.0,,,24-01-2024 09:42:58,24-01-2024 09:42:58,0.506s,PASSED
"setText(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/textarea_comment""), ""I want to comment"")",Chrome 120.0.0.0,,,24-01-2024 09:42:58,24-01-2024 09:42:59,0.863s,PASSED
"click(findTestObject(""Object Repository/Create Book Appointment CURA/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,24-01-2024 09:42:59,24-01-2024 09:43:01,1.752s,PASSED
"takeScreenshotAsCheckpoint(""Book Appointment"")",Chrome 120.0.0.0,,,24-01-2024 09:43:01,24-01-2024 09:43:02,0.945s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,24-01-2024 09:43:02,24-01-2024 09:43:02,0.257s,PASSED
