Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,24-01-2024 10:05:26,24-01-2024 10:05:40,14.386s,PASSED
,,,,,,,
Test Cases/CURA Health/Login,Chrome 120.0.0.0,,,24-01-2024 10:05:26,24-01-2024 10:05:40,14.158s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 10:05:26,24-01-2024 10:05:28,2.217s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,24-01-2024 10:05:28,24-01-2024 10:05:33,4.264s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,24-01-2024 10:05:33,24-01-2024 10:05:34,1.072s,PASSED
"setText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,24-01-2024 10:05:34,24-01-2024 10:05:35,0.840s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,24-01-2024 10:05:35,24-01-2024 10:05:35,0.522s,PASSED
delay(3),Chrome 120.0.0.0,,,24-01-2024 10:05:35,24-01-2024 10:05:38,3.050s,PASSED
"takeScreenshotAsCheckpoint(""Halaman Login"")",Chrome 120.0.0.0,,,24-01-2024 10:05:38,24-01-2024 10:05:39,0.766s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,24-01-2024 10:05:39,24-01-2024 10:05:40,1.064s,PASSED
